"","nomem_encr","nohouse_encr","wave","geslacht","positie","gebjaar","leeftijd","lftdhhh","aantalhh","aantalki","brutoink_f","nettoink","netinc","nettoink_f","brutohh_f","nettohh_f","oplzon","oplmet","oplcat","simpc","bm10a_m","bm10a001","bm10a004","m_0.5","AA_0.5","m_0.1","AA_0.1","m_0.9","AA_0.9","alpha1","sigma2","child_dif","coef_risk_low","coef_risk_high","tp19a045"
"72",837387,523281,201001,1,1,1974,35,35,4,2,2955.9172538442,2000,2000,2000,3985.97950179865,2800,4,4,"mbo",0,201001,1,1,0.4063,0.0936999999999999,0.1844,-0.0844,0.1844,0.7156,1.5,0.273808825510905,0,0.72248179628073,0.726191174489095,100
"73",837414,599765,201001,1,1,1968,41,41,4,2,4100,1950,1950,1950,4100,1950,4,4,"mbo",0,201001,1,0,0.5313,-0.0313,0.075,0.025,0.1,0.8,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,100
"74",837637,509469,201001,2,2,1965,44,44,4,2,2082,1429,1429,1429,3889.66944070405,2729,5,5,"hbo",0,201001,1,0,0.9063,-0.4063,0.2969,-0.1969,0.025,0.875,1.5,0.292329885610086,0,0.72248179628073,0.707670114389914,75
"75",838632,555648,201001,1,1,1961,48,48,4,2,3500,1928,1928,1928,5100,3178,5,5,"hbo",0,201001,1,1,0.1563,0.3437,0.1282,-0.0282,0.025,0.875,1.5,0.69140973272908,0,0.411637775270135,0.30859026727092,500
"76",838757,511825,201001,2,2,1954,55,69,3,1,NA,-14,-13,NA,NA,NA,2,2,"vmbo",0,201001,1,0,0.9688,-0.4688,0.9719,-0.8719,0.025,0.875,0,0,0,1,1,0
"77",840023,599447,201001,1,5,1987,22,56,4,2,1000,900,900,900,11500,7000,5,8,"havo/vwo",0,201001,2,0,0.2188,0.2812,0.1844,-0.0844,0.8032,0.0968000000000001,1.5,0.273808825510905,0,0.72248179628073,0.726191174489095,20
"78",841775,584439,201001,2,2,1966,43,46,4,2,0,0,0,0,NA,NA,5,5,"hbo",0,201001,1,0,0.2188,0.2812,0.1,0,0.1,0.8,1.45,0.856503777849836,0,0.400756256532678,0.143496222150164,200
"79",842352,557119,201001,2,2,1973,36,37,4,2,0,0,0,0,3600,2400,5,5,"hbo",0,201001,2,0,0.9688,-0.4688,0.9157,-0.8157,0.025,0.875,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,40
"80",842370,593099,201001,1,1,1950,59,59,3,2,2000,1750,-13,1750,3250.1219579082,2750,2,2,"vmbo",0,201001,1,1,0.4688,0.0311999999999999,0.075,0.025,0.1282,0.7718,1.45,0.856503777849836,0,0.400756256532678,0.143496222150164,0
"81",842822,590216,201001,1,1,1957,52,52,3,1,2618.99101366284,1800,1800,1800,5844.16637677327,4072,6,3,"havo/vwo",0,201001,1,0,0.25,0.25,0.1,0,0.1,0.8,1.45,0.999947477923638,0,0.152047631739526,5.25220763617495e-05,30
"82",842898,512991,201001,1,1,1972,37,37,3,1,2608.83535722757,1750,-13,1750,2894.96333647161,2000,2,2,"vmbo",0,201001,1,0,0.4063,0.0936999999999999,0.3532,-0.2532,0.025,0.875,0.95,0.238913058756461,0,1,0.761086941243539,50
"83",843615,535821,201001,1,1,1969,40,40,4,2,2608.83535722757,1750,1750,1750,2856.78924007879,1969,4,4,"mbo",1,201001,1,1,0.2188,0.2812,0.025,0.075,0.025,0.875,1.5,0.428907270411871,0,0.72248179628073,0.571092729588129,0
"84",844155,523782,201001,1,1,1964,45,45,4,2,4500,2700,2700,2700,8200,5100,5,5,"hbo",0,201001,2,1,0.2188,0.2812,0.1844,-0.0844,0.075,0.825,0.75,1.47373388217383,0,0.634680899184675,-0.473733882173834,100
"85",844491,570910,201001,1,1,1966,43,43,3,1,2700,1900,1900,1900,5200,3700,6,4,"mbo",0,201001,2,1,0.5,0,0.1,0,0.55,0.35,1.4,1.0631014373675,0,0.389673488465231,-0.0631014373674976,100
"86",844964,521084,201001,2,1,1965,44,44,4,2,2690,1715,1715,1715,3398,2369,2,2,"vmbo",0,201001,2,0,0.0313,0.4687,0.025,0.075,0.9719,-0.0719,0,0,0,1,1,200
"87",845092,536428,201001,2,1,1966,43,43,3,1,4482.78242407328,2770,2770,2770,5804.13289937542,3770,6,6,"wo",0,201001,2,0,0.5313,-0.0313,0.1844,-0.0844,0.4657,0.4343,1.5,0.387675175938715,0,0.72248179628073,0.612324824061285,60
"88",845727,530175,201001,2,2,1957,52,57,4,2,2550,1600,1600,1600,6978.65811538072,5250,4,4,"mbo",0,201001,2,0,0.4063,0.0936999999999999,0.3532,-0.2532,0.025,0.875,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,0
"89",847424,591867,201001,1,1,1970,39,39,3,1,2950,2197,2197,2197,5517,4003,6,3,"havo/vwo",0,201001,1,1,0.25,0.25,0.325,-0.225,0.55,0.35,1.45,0.856503777849836,0,0.400756256532678,0.143496222150164,30
"90",847924,515597,201001,1,1,1966,43,43,4,2,5666,3500,3500,3500,6991,4650,2,2,"vmbo",0,201001,1,0,0.5,0,0.1,0,0.1,0.8,1.5,0.428907270411871,0,0.72248179628073,0.571092729588129,0
