"","nomem_encr","nohouse_encr","wave","geslacht","positie","gebjaar","leeftijd","lftdhhh","aantalhh","aantalki","brutoink_f","nettoink","netinc","nettoink_f","brutohh_f","nettohh_f","oplzon","oplmet","oplcat","simpc","bm10a_m","bm10a001","bm10a004","m_0.5","AA_0.5","m_0.1","AA_0.1","m_0.9","AA_0.9","alpha1","sigma2","child_dif","coef_risk_low","coef_risk_high","tp19a045"
"151",891781,583963,201001,2,2,1971,38,37,4,2,943.540262717752,734,734,734,4383.73972019732,2949,2,2,"vmbo",0,201001,1,1,0.0313,0.4687,0.025,0.075,0.9719,-0.0719,1.5,0,0,0.411637775270135,1,3200
"152",892727,509640,201001,1,1,1972,37,37,4,2,2608.83535722757,1750,-13,1750,2608.83535722757,1750,2,2,"vmbo",0,201001,2,0,0.7813,-0.2813,0.8032,-0.7032,0.025,0.875,0,0,0,1,1,450
"153",893411,514089,201001,2,1,1962,47,47,2,1,2012.06825606449,1400,1400,1400,2303.32558479243,1650,4,4,"mbo",0,201001,1,1,0.2188,0.2812,0.1,0,0.1844,0.7156,1.5,0.310878362980366,0,0.411637775270135,0.689121637019634,0
"154",893814,502685,201001,1,1,1973,36,36,2,0,3424,2260,2260,2260,6024,4110,6,6,"wo",0,201001,1,1,0.0625,0.4375,0.1,0,0.1,0.8,1.5,0.236114112681943,2,0.72248179628073,0.763885887318057,0
"155",893957,565805,201001,1,1,1955,54,54,4,2,4900,2900,2900,2900,7900,4800,6,6,"wo",0,201001,1,1,0.5,0,0.1,0,0.1,0.8,1.45,0.999947477923638,0,0.152047631739526,5.25220763617495e-05,0
"156",894906,522863,201001,1,1,1973,36,36,4,2,4800,4750,-13,4750,NA,NA,5,5,"hbo",0,201001,2,1,0.4688,0.0311999999999999,0.2969,-0.1969,0.075,0.825,1.5,0.428907270411871,0,0.411637775270135,0.571092729588129,125
"157",896179,507690,201001,2,2,1976,33,38,3,1,NA,-14,-13,NA,NA,NA,4,4,"mbo",0,201001,1,1,0.5,0,0.9719,-0.8719,0.025,0.875,1.5,0.195296244858899,2,0.72248179628073,0.804703755141101,0
"158",897958,534185,201001,1,1,1970,39,39,4,2,2872.47464732507,1900,1900,1900,3839.32349026585,2650,4,4,"mbo",0,201001,1,0,0.2188,0.2812,0.3532,-0.2532,0.3532,0.5468,1.4,1.0631014373675,0,0.389673488465231,-0.0631014373674976,2000
"159",898544,573220,201001,1,1,1980,29,29,1,0,1899,1383,1383,1383,1899,1383,5,3,"havo/vwo",0,201001,1,1,0.4688,0.0311999999999999,0.075,0.025,0.4657,0.4343,1.5,0.195296244858899,2,0.72248179628073,0.804703755141101,100
"160",899172,535867,201001,2,2,1969,40,45,4,2,1435.65304497484,1061,1061,1061,3735.65304497484,2961,4,4,"mbo",0,201001,1,0,0.4688,0.0311999999999999,0.1563,-0.0563,0.2969,0.6031,1.5,0.273808825510905,0,0.72248179628073,0.726191174489095,250
"161",899404,573168,201001,2,2,1976,33,32,4,2,0,0,0,0,2400,1750,4,4,"mbo",0,201001,1,1,0.3438,0.1562,0.1,0,0.1,0.8,0.95,0.636531513096666,0,1,0.363468486903334,175
