R0000100,RISK1_1993,RISK1_2002,RISK1_2004,RISK1_2006,RISK1_2010,RISK1_2012,RISK1_2014,RISK2_1993,RISK2_2002,RISK2_2004,RISK2_2006,RISK2_2010,RISK2_2012,RISK2_2014,RISK3_1993,RISK3_2002,RISK3_2004,RISK3_2006,RISK3_2010,RISK3_2012,RISK3_2014,RISK4_1993,RISK4_2002,RISK4_2004,RISK4_2006,RISK4_2010,RISK4_2012,RISK4_2014
10330,1.775801437,1.775801437,1.775801437,1.681297174,1.775801437,1.681297174,1.681297174,2.245995401,1.975231883,1.990039663,1.418349077,1.929644271,1.418349077,1.418349077,1.781734212,1.338260337,1.263096495,1.619644762,1.730942839,1.619644762,1.619644762,1.847974088,1.646666831,1.562359625,1.458504123,1.859436975,1.458504123,1.458504123
10331,1.178261381,1.178261381,1.178261381,1.178261381,1.178261381,1.115556892,1.115556892,1.510462887,0.988692968,0.899300608,0.907526228,1.047081615,1.200048782,1.200048782,1.137465451,0.881160445,0.7833275,0.772793305,1.096532142,1.140905669,1.140905669,1.213859414,0.857484868,0.769526924,0.78889855,1.033655952,1.197000065,1.197000065
10332,1.524805991,1.524805991,1.524805991,1.524805991,1.524805991,1.443659156,1.443659156,1.762983461,1.496105744,1.183065367,1.150741148,1.46003199,1.462224317,1.462224317,1.550115826,1.200828342,1.06789048,1.066266209,1.553184506,1.43684371,1.43684371,1.564508082,1.287733291,0.984501499,0.978813014,1.402586831,1.460924491,1.460924491
10333,1.425520796,1.425520796,1.425520796,1.425520796,1.425520796,1.349657702,1.349657702,2.231322171,1.606404783,1.636011329,1.568302562,1.69479338,1.0674308,1.0674308,1.745605079,0.930367744,1.026329616,0.965551971,1.406478371,1.290154324,1.290154324,2.037415997,1.085277207,1.248992036,1.331340462,1.635581698,1.121203477,1.121203477
10334,1.827517874,1.827517874,1.827517874,1.827517874,1.827517874,1.730261376,1.730261376,2.284846737,1.476482577,1.43041771,1.387763886,1.788288479,1.755563732,1.755563732,2.058850074,1.43807356,1.411128502,1.356221944,1.924370908,1.535056751,1.535056751,1.975450625,1.363061006,1.334369162,1.284688681,1.780935419,1.630873774,1.630873774
10335,0.524421573,0.524421573,0.524421573,0.524421573,0.524421573,0.496513006,0.496513006,0.602311393,0.416755582,0.417676328,0.401035842,0.482139314,0.564485652,0.564485652,0.561460065,0.405962056,0.340546318,0.327058606,0.558869461,0.519711187,0.519711187,0.509531604,0.364551579,0.303106517,0.299486534,0.481013672,0.596709943,0.596709943
10336,0.936190221,0.936190221,0.936190221,0.936190221,0.936190221,0.886368228,0.886368228,1.037771956,0.716807738,0.644466277,0.641580832,0.76820147,1.020350209,1.020350209,0.906094998,0.686525508,0.61052361,0.609594999,0.854324874,0.967792773,0.967792773,0.849319241,0.60666007,0.542466151,0.540780495,0.735619694,1.073955341,1.073955341
10337,1.19467681,1.19467681,1.19467681,1.19467681,1.19467681,1.131098727,1.131098727,1.808261614,1.282358,1.384952832,1.345069101,2.068698451,0.898760757,0.898760757,1.362085108,1.054401981,0.952148414,0.947566905,1.372329248,1.015746259,1.015746259,1.600083645,1.218127919,1.163804866,1.291550015,1.919743917,0.889031166,0.889031166
10338,1.524805991,1.524805991,1.524805991,1.524805991,1.524805991,1.443659156,1.443659156,2.033708066,1.508779702,1.367867081,1.256001168,1.608650993,1.361011735,1.361011735,1.72399443,1.13016809,1.034236528,1.005647143,1.464883298,1.456217996,1.456217996,1.850183707,1.13559177,1.101311067,1.016985574,1.456406947,1.416729005,1.416729005
10339,1.524805991,1.524805991,1.524805991,1.524805991,1.524805991,1.443659156,1.443659156,2.072113976,1.614242586,1.281825252,1.344229952,1.593175577,1.339090033,1.339090033,1.710245919,1.369977135,1.141001476,1.150604916,1.437027906,1.351587113,1.351587113,1.77039972,1.414954639,1.165338193,1.188406341,1.38294497,1.33340356,1.33340356
10340,1.163805087,1.10186993,1.163805087,1.163805087,1.163805087,1.10186993,1.10186993,1.542521442,1.04748289,0.991377416,0.997181977,1.161474047,1.04748289,1.04748289,1.272452686,1.067757251,0.841557952,0.858900788,1.189339118,1.067757251,1.067757251,1.301705628,1.069179749,0.861645224,0.874796373,1.16742775,1.069179749,1.069179749
10341,3.417937696,3.417937696,3.417937696,3.417937696,3.417937696,3.23604254,3.23604254,4.752368559,3.451451756,3.224503554,3.237419818,3.868075202,2.602539851,2.602539851,3.883021736,2.814850142,2.632743435,2.648071289,3.795942412,2.637360408,2.637360408,4.178904325,3.05541443,2.861963894,2.873112387,3.937026156,2.422199857,2.422199857
10358,1.873490005,1.773786971,1.873490005,1.873490005,1.773786971,1.773786971,1.773786971,3.058807594,1.565481415,1.788052732,1.658287743,1.565481415,1.565481415,1.565481415,1.695782584,1.865701572,1.351482839,1.240806373,1.865701572,1.865701572,1.865701572,2.234508443,1.648987635,1.473269836,1.356691699,1.648987635,1.648987635,1.648987635
10359,3.188529098,3.188529098,3.188529098,3.188529098,3.188529098,3.018842564,3.018842564,3.819232669,2.338421432,2.055146714,2.160102653,2.370527164,3.211108061,3.211108061,2.820046667,2.139993605,1.912031365,1.908048071,2.705678122,3.258180009,3.258180009,2.638553383,1.79182694,1.592441829,1.653902338,2.135340973,3.394478291,3.394478291
10360,0.98093426,0.98093426,0.98093426,0.98093426,0.98093426,0.928731088,0.928731088,1.191440915,0.838694006,0.807202415,0.781321197,0.9586832,0.952612018,0.952612018,0.923175864,0.675079868,0.657512821,0.648435522,0.944453517,0.989706159,0.989706159,0.917506879,0.661525757,0.672365227,0.647289984,0.903195798,1.026640236,1.026640236
10362,1.454626762,1.454626762,1.454626762,1.377214712,1.377214712,1.454626762,1.377214712,2.475312768,1.565126652,1.588071109,1.14126312,1.14126312,1.559218035,1.14126312,2.176021984,1.162223876,1.076711548,1.278440164,1.507639432,1.278440164,1.278440164,2.698114112,1.352656873,1.294993247,1.155654597,1.155654597,1.1021282,1.155654597
10363,1.592951763,1.592951763,1.592951763,1.592951763,1.592951763,1.50817836,1.50817836,1.954294231,1.375018632,1.294082641,1.315646466,1.467048408,1.521229281,1.521229281,2.248965599,1.160797701,1.096903171,1.066581493,1.485625437,1.423583771,1.423583771,2.24192841,1.161036882,1.097265444,1.110206607,1.420042988,1.433133984,1.433133984
10368,1.991393839,1.991393839,1.991393839,1.991393839,1.991393839,1.885416221,1.885416221,2.153457444,1.777727503,1.632540607,1.508611148,1.969043055,1.904354044,1.904354044,1.877420833,1.601219147,1.474861995,1.473152549,2.197415548,1.759864629,1.759864629,1.834341204,1.56255862,1.440517121,1.496703776,2.027132657,1.783662966,1.783662966
10369,1.144894929,1.083966129,1.144894929,1.144894929,1.144894929,1.083966129,1.083966129,1.450387127,1.105529092,0.89549347,0.831827905,1.040283199,1.105529092,1.105529092,1.523189709,1.114332195,0.725944811,0.671220939,1.035616077,1.114332195,1.114332195,1.48258624,1.132511505,0.696969898,0.645385355,0.94308271,1.132511505,1.132511505
10370,1.379805798,1.379805798,1.379805798,1.379805798,1.379805798,1.306375556,1.306375556,2.010780705,1.517469157,1.429227748,1.309535253,1.765700507,1.134208493,1.134208493,1.258947293,1.008468423,0.871062783,0.846984008,1.225646479,1.34812447,1.34812447,1.516364093,1.200115181,1.127156275,1.019104205,1.471429216,1.211475944,1.211475944
10371,3.417937696,3.417937696,3.417937696,3.417937696,3.417937696,3.23604254,3.23604254,3.92244575,2.84286601,2.823822397,4.129722558,3.108869958,2.875093777,2.875093777,3.783113507,2.74242544,2.681902484,2.523084386,3.651083686,2.69472767,2.69472767,3.531328144,2.580303986,2.538239213,2.734946247,3.270407191,2.72563301,2.72563301
10372,2.483670305,2.351494813,2.351494813,2.351494813,2.351494813,2.351494813,2.351494813,2.902636867,2.095197088,2.095197088,2.095197088,2.095197088,2.095197088,2.095197088,3.60929431,2.067125547,2.067125547,2.067125547,2.067125547,2.067125547,2.067125547,2.859849468,2.025502934,2.025502934,2.025502934,2.025502934,2.025502934,2.025502934
