2	6	52	52	1	0	0	1	0	1	0	2	34	11.082143	0	6	52	0	1	0	0	1	0	1	0	1	43	10.828738	0																																																																							5	8	6841	0	0	1	1	1	1	0	0	0	0	0
3																																											7	52	43	0	0	1	1	0	0	0	1	45	10.596635	0															3	52	52	0	0	1	1	0	0	0	3	51	11.440354	0															10	12	49444	0	0	1	0	0	0	0	1	0	1	0
6	7	28	52	0	0	0	1	0	0	1	2	33	10.968198	0	10	52	52	0	0	0	1	0	0	1	2	42	11.435234	0	1	52	52	0	0	0	1	0	0	1	4	44	11.320554	0	9	52	52	0	0	0	1	0	0	1	4	46	11.264464	0	7	39	52	0	0	0	1	0	0	1	3	50	11.665604	0																													12	12	99393	0	0	0	1	1	1	1	1	1	0	0
7															7	52	52	1	0	0	0	1	1	0	4	38	10.230991	0																																																																							12	12	47412	0	0	0	0	0	1	0	0	0	0	0
8																																																									12	33	50	1	0	0	1	0	1	0	4	52	10.721481	0																													9	6	44022	0	0	1	1	0	0	0	0	1	0	0
9	6	36	42	1	0	0	1	0	0	0	1	30	10.165082	0	4	26	52	1	0	0	1	0	0	0	4	39	11.225244	0	10	26	52	1	0	0	1	0	0	0	4	41	11.156251	0	10	36	52	1	0	0	1	0	0	0	4	43	11.396392	0	2	26	52	1	0	0	1	0	0	0	3	47	11.532728	0																													12	10	59683	0	0	0	0	1	1	1	1	1	0	0
10	8	52	52	1	0	0	1	0	0	0	1	33	10.152299	0																																																																																					12	12	30039	0	0	1	0	1	0	0	0	0	0	0
13	7	0	52	1	0	0	1	0	0	1	1	35	10.766377	0																																																																																					12	16	72313	0	0	0	1	1	0	0	0	0	0	0
14	6	46	52	1	0	0	1	0	0	1	2	30	11.264464	0																													4	52	52	1	0	0	0	1	0	1	2	43	12.301383	0																																											12	12	98798	0	0	1	1	1	0	0	1	0	0	0
15	7	52	49	0	1	0	1	0	0	1	1	29	10.969921	0	5	52	0	1	0	0	1	0	0	1	2	38	12.106253	0	5	52	0	1	0	0	1	0	0	1	1	40	12.206573	0	3	52	0	1	0	0	1	0	0	1	4	42	12.348223	0	2	52	0	1	0	0	1	0	0	1	3	46	12.996101	0																													12	12	82260	0	0	0	1	1	1	1	1	1	0	0
16	7	52	52	1	0	0	1	0	1	0	3	35	11.187196	0	7	52	52	1	0	0	1	0	1	0	4	44	11.366743	0	8	52	52	1	0	0	1	0	1	0	2	46	11.81033	0																																																									12	12	50283	0	0	1	1	1	1	1	0	0	0	0
17															7	52	52	1	0	0	1	0	0	1	1	45	11.561716	0	7	52	52	1	0	0	1	0	0	1	3	47	11.563714	0	4	52	52	1	0	0	1	0	0	1	4	49	11.326596	0																																											12	15	89669	0	0	0	0	0	1	1	1	0	0	0
18	7	38	52	0	0	1	0	1	1	0	1	35	11.983535	0																																																																																					12	16	95977	0	0	0	0	1	0	0	0	0	0	0
20	6	52	52	1	0	0	1	0	0	1	2	34	11.256871	0	9	52	52	1	0	0	1	0	0	1	4	43	11.418614	0	9	52	52	1	0	0	1	0	0	1	2	45	11.732863	0	3	52	52	1	0	0	1	0	0	1	3	47	11.744038	0															1	52	52	1	0	0	1	0	0	1	4	53	12.157408	0															12	18	67021	0	0	1	1	1	1	1	1	0	1	0
21	6	52	52	1	0	0	1	0	0	1	2	32	10.996249	0	4	52	52	1	0	0	1	0	0	1	2	41	12.075167	0	5	52	52	1	0	0	1	0	0	1	4	43	12.043701	0	3	52	52	1	0	0	1	0	0	1	4	45	12.429216	0	2	52	52	1	0	0	1	0	0	1	1	49	12.996101	0																													12	18	88416	0	0	1	1	1	1	1	1	1	0	0
22	6	44	52	1	0	0	1	0	0	1	4	30	10.49183	0	4	48	52	1	0	0	1	0	0	1	1	39	11.350407	0	6	46	18	1	0	0	1	0	0	1	2	41	10.778352	0	3	47	52	1	0	0	1	0	0	1	2	43	11.297254	0	3	34	50	1	0	0	1	0	0	1	1	47	11.799982	0																													12	12	89167	0	0	1	1	1	1	1	1	1	0	0
24	10	52	52	1	0	0	1	0	1	0	2	32	11.05406	0																																																																																					12	12	66029	0	0	0	1	1	0	0	0	0	0	0
25	6	52	52	1	0	0	1	0	0	1	2	34	11.326596	0	6	52	52	1	0	0	1	0	0	1	2	43	12.875598	0	6	52	52	1	0	0	1	0	0	1	4	45	12.920181	0	3	52	52	1	0	0	1	0	0	1	1	47	13.102928	0	1	52	52	1	0	0	1	0	0	1	1	51	12.996101	0																													14	16	51390	0	0	1	1	1	1	1	1	1	0	0
27	6	52	0	1	0	0	1	0	0	1	1	33	11.197269	0	6	52	0	1	0	0	1	0	0	1	1	42	12.875598	0	5	52	0	1	0	0	1	0	0	1	4	44	12.920181	0	4	52	0	1	0	0	1	0	0	1	4	46	13.102928	0	2	52	52	1	0	0	1	0	0	1	1	50	11.373663	0																													14	20	96674	0	0	1	1	1	1	1	1	1	0	0
29															7	52	52	1	0	0	1	0	1	0	3	42	12.072541	0															5	52	52	1	0	0	1	0	1	0	4	46	11.77529	0	1	52	52	1	0	0	1	0	1	0	1	50	11.635143	0																													0	4	25905	0	0	1	1	0	1	0	1	1	0	0
34	8	52	52	1	0	0	0	1	0	1	3	35	10.668956	0	9	52	52	1	0	0	1	0	0	1	4	44	11.09741	0															4	52	52	1	0	0	1	0	0	1	4	48	13.102928	0																																											13	12	6069	0	0	0	1	1	1	0	1	0	0	0
