R0000100,RISK2_1993,RISK2_2002,RISK2_2004,RISK2_2006,RISK2_2010,RISK2_2012,RISK2_2014
2,2.499573835,2.25833255,2.133759087,2.991732666,2.435839518,2.991732666,2.991732666
3,2.940604294,2.830934216,2.86517999,2.139353508,2.86517999,2.077906619,2.86517999
4,0.952987809,0.997254052,0.997254052,0.997254052,0.997254052,0.997254052,0.997254052
6,1.593014554,1.224735301,1.040648921,1.086101549,1.277190087,1.020808642,1.020808642
7,1.682103191,1.117691909,1.047885312,1.244810713,1.423382055,1.099670769,1.099670769
8,0.571935017,0.425488337,0.401428798,0.609734673,0.436160147,0.609734673,0.609734673
9,1.404089758,1.005988673,0.972584581,0.878537324,1.076750038,0.960811786,0.960811786
10,2.486244318,2.436319454,2.436319454,2.436319454,2.436319454,2.436319454,2.436319454
11,4.033378626,3.669216723,3.023739827,3.023739827,3.023739827,3.023739827,3.023739827
12,0.910598721,1.005923948,1.005923948,1.005923948,1.005923948,1.005923948,1.005923948
13,2.614464606,2.344492994,2.020218344,1.848418418,1.663388202,1.663388202,1.663388202
14,2.980995121,2.369724673,2.234922421,2.013354718,2.606885768,2.562493249,2.562493249
15,3.240228109,2.537367119,2.519830916,2.370969322,2.688370306,1.972439721,1.972439721
16,1.332469632,1.026006802,0.911356419,1.003607457,1.131532503,1.595017772,1.595017772
17,2.431597106,1.528665402,1.392648804,1.409473334,1.737387375,1.408428299,1.408428299
18,1.682019362,1.36222211,1.312959402,1.26007362,1.530832427,1.567501582,1.567501582
19,0.916577402,0.74732249,0.74732249,0.544475355,0.74732249,0.74732249,0.74732249
20,1.622621236,1.291902873,1.1579525,1.130704555,1.50241055,1.194727671,1.50241055
21,1.725780052,1.254431095,1.224106387,1.134649682,1.292967784,1.519540331,1.519540331
22,3.204153481,2.351023598,2.515138427,2.182708881,2.5513731,2.621093307,2.621093307
24,1.907189288,1.677389177,1.677389177,1.677389177,1.677389177,1.677389177,1.677389177
25,2.996321916,2.117336408,1.99125031,1.928838985,2.280239114,2.786260966,2.786260966
26,6.204041762,3.180070956,3.180070956,3.180070956,4.343690965,3.180070956,3.180070956
27,2.558932318,1.793935364,1.741228441,1.648625677,1.873965802,2.027706204,2.027706204
28,0.839628924,0.82413365,0.82413365,0.82413365,0.717622094,0.82413365,0.82413365
29,1.451446874,0.944404452,1.481613272,0.914972208,1.026423441,1.481613272,1.481613272
30,0.918427826,0.682367748,0.644000146,0.600863827,0.806143151,0.899150792,0.899150792
31,2.361792087,1.935827181,1.812046156,1.718454633,1.984569464,1.69278489,1.69278489
32,2.384637115,1.910173926,1.816396777,1.717810505,1.851400877,1.910173926,1.910173926
33,2.766300448,1.493470044,1.493470044,1.493470044,1.493470044,1.493470044,1.493470044
34,1.730169979,1.329767947,1.160137086,1.058865654,1.552103515,1.160137086,1.160137086
35,2.628481384,2.407337689,2.407337689,2.407337689,2.407337689,2.407337689,2.407337689
36,0.974635284,0.693890994,0.668869668,0.77398385,0.980565078,0.814488846,0.814488846
37,0.491137876,0.340326221,0.322103107,0.332701963,0.362518251,0.552308442,0.552308442
38,1.58369629,1.204357557,1.143744742,1.117092553,1.305230367,1.798488695,1.798488695
39,3.693998861,2.956401192,2.924797766,2.658774247,3.066235334,3.302326867,3.302326867
40,3.295075983,1.948774757,1.835657769,1.809490833,2.256124128,2.216378884,2.216378884
41,2.139519208,1.44007416,1.470875963,1.426883687,1.515982788,1.426537467,1.426537467
42,1.215636306,0.916573322,0.835256867,0.842980517,0.962137793,0.979241739,0.979241739
43,1.924995072,1.680027748,1.698058594,1.378551346,1.78304597,1.698058594,1.698058594
44,2.403369806,1.920638846,2.593185525,1.797000161,1.789902253,2.593185525,2.593185525
45,1.867110653,1.688551762,1.688551762,1.688551762,1.688551762,1.688551762,1.688551762
46,1.124788982,0.87424934,0.744221561,0.733103556,0.917451549,0.917451549,0.917451549
47,1.571106405,1.277908724,1.165186906,1.104626387,1.236804552,1.314125199,1.314125199
48,1.297466037,0.938107817,0.938107817,0.938107817,0.938107817,0.938107817,0.938107817
49,2.274822384,1.673456558,1.64058904,2.10911215,2.10911215,2.10911215,2.10911215
50,0.782996424,0.611277934,0.949361488,0.660685137,0.630876023,0.949361488,0.949361488
52,2.519550313,2.519550313,2.519550313,2.519550313,2.519550313,2.247436245,2.519550313
53,1.567571252,1.162778812,1.136885522,0.816513127,1.09068658,0.816513127,0.816513127
54,2.089424815,1.628546913,1.53747005,1.53747005,1.53747005,1.53747005,1.53747005
57,2.905740502,2.897526274,2.044949662,2.019282868,2.533093855,3.400603386,3.400603386
58,0.584888406,0.5593071,0.430996184,0.41224176,0.474056857,0.5593071,0.5593071
59,0.628370207,0.488404712,0.463824474,0.451186732,0.530292997,0.530292997,0.530292997
60,0.925005069,0.808983443,0.808983443,0.808983443,0.808983443,0.720333036,0.808983443
61,3.090812703,2.37754959,2.15682075,2.1416713,2.892453004,3.543302631,3.543302631
62,0.638388234,0.517520058,0.474466188,0.484675125,0.586838906,0.690116633,0.690116633
63,2.280441599,2.160336266,1.649380337,1.723196499,1.838628249,2.160336266,2.160336266
66,1.232353589,1.08007098,0.953332504,0.942257789,1.158364519,0.954601995,0.954601995
67,2.181020714,1.574706852,1.502329228,1.748000164,2.050343846,1.502329228,1.502329228
68,1.731589283,1.443020493,1.400623664,1.358907454,1.554042975,1.576105977,1.576105977
69,3.127806762,2.39568373,2.223557658,2.251952408,2.489933667,2.283520997,2.283520997
70,2.624323767,2.023924753,1.928838356,1.814528917,2.628504182,1.814528917,1.814528917
71,2.018526612,1.131855691,1.131855691,1.131855691,1.717487838,1.131855691,1.131855691
72,1.861575924,1.399341818,1.327681995,1.258767579,1.572127713,1.506846577,1.506846577
73,5.140611705,3.432392621,3.546268535,3.219260807,3.89455555,3.003496997,3.003496997
74,3.006094748,2.339989602,2.339989602,2.339989602,2.339989602,2.339989602,2.339989602
75,1.382857313,1.164080819,0.97658354,0.999584449,1.098502124,1.191166976,1.191166976
76,2.586637598,1.832277572,1.669806453,1.618087847,1.860639728,1.904868091,1.904868091
77,2.925567517,2.134135987,2.134135987,1.852324479,2.134135987,2.134135987,2.134135987
78,0.742002722,0.604487199,0.503947853,0.476361042,0.604487199,0.604487199,0.604487199
79,6.253654965,4.37777608,4.407953272,4.143440406,4.143440406,4.143440406,4.143440406
80,1.696358755,0.916186963,1.260377848,1.236465515,1.37216527,0.916186963,0.916186963
81,6.724546423,4.34422519,3.998179018,4.545882318,4.34422519,4.34422519,3.59570364
82,1.446953303,0.917163593,0.917163593,0.917163593,0.917163593,0.917163593,0.917163593
83,1.129143578,1.045986631,0.951447964,0.942537607,1.089714611,0.728204093,0.728204093
84,6.557642597,4.186526693,4.44860343,4.672074438,6.202245158,3.815282774,3.815282774
85,8.005068907,5.494261148,5.122431326,5.614477257,7.220586787,4.482539997,4.482539997
86,1.317174433,0.866757062,0.873457192,0.864490533,0.964501148,0.981647173,0.981647173
87,1.365746644,1.068674639,0.937327691,0.911965524,1.050424805,0.879322382,0.879322382
88,0.873523481,0.7321116,0.71940936,0.597644401,0.73241639,0.533045465,0.533045465
89,2.547106747,2.061851321,1.832888653,1.789641977,2.13508799,2.13508799,2.13508799
90,0.945934738,0.677480735,0.667833836,0.695228355,0.722101002,0.638532897,0.638532897
91,4.300513151,2.81637061,2.877358385,2.59350933,3.035765147,3.079148634,3.079148634
92,0.875842226,0.732709354,0.651562184,0.914400953,0.734542117,0.914400953,0.914400953
93,1.346822287,0.97866442,1.022806541,0.969779652,1.080490236,1.071353485,1.071353485
94,2.471877278,1.795848655,1.785447495,1.733688856,1.895071143,1.895071143,1.895071143
95,0.450843871,0.384380837,0.363820922,0.353649727,0.406581895,0.529867797,0.529867797
96,1.343297248,1.002270429,0.904559711,0.915127156,1.074114443,1.380968688,1.380968688
97,2.377491877,1.822973235,1.724957634,1.68918679,2.032865082,2.901101486,2.901101486
98,0.643717525,0.437457945,0.454944806,0.473736243,0.510055534,0.44555591,0.44555591
99,1.930364778,1.779644295,1.594607382,1.625007612,1.724453639,1.785277856,1.785277856
100,0.488881589,0.387181919,0.363177476,0.356352989,0.417087237,0.522244771,0.522244771
101,0.913480474,0.589543174,0.621638353,0.589543174,0.705778895,0.589543174,0.589543174
102,1.389688984,1.135631809,1.080361895,1.025430601,1.292012944,1.470765425,1.470765425
103,0.639407739,0.468415778,0.455107443,0.470734306,0.56296908,0.438824689,0.438824689
104,0.892494963,1.009743701,1.009743701,1.009743701,1.009743701,1.009743701,1.009743701
105,2.509686818,3.003953912,1.908486783,1.801394318,2.112626957,3.003953912,3.003953912
106,1.5394783,1.103464765,1.06652762,1.02826742,1.215277105,0.935646388,0.935646388
107,6.251235034,4.64382473,4.807180502,4.549449206,5.155760725,4.02080276,4.02080276
108,1.322205967,0.966433332,0.930044336,0.903646193,1.071737312,0.918283803,0.918283803
109,1.434937009,1.490474738,1.490474738,1.490474738,1.490474738,1.490474738,1.490474738
110,1.679195955,1.267152943,1.205618616,1.132763683,1.361058377,1.541444351,1.541444351
111,0.661462075,0.464477115,0.439486167,0.440568398,0.518854547,0.734495472,0.734495472
112,1.501163259,1.45247821,1.175438512,1.150406857,1.318096325,1.468399798,1.468399798
115,2.630189451,2.630189451,2.630189451,2.630189451,2.630189451,2.630189451,1.67101347
117,0.885385444,0.678403964,0.593303141,0.57837622,0.742558323,0.742558323,0.742558323
118,0.970339443,0.993810476,0.993810476,0.993810476,0.993810476,0.993810476,0.993810476
119,7.418597546,4.696173462,4.624663646,5.236573519,6.078859262,4.18134069,4.18134069
120,1.353595233,1.133314005,0.956432244,1.030444508,1.19607089,0.887211491,0.887211491
121,1.289572974,0.938397547,0.921020224,0.910182143,1.049531774,0.938397547,0.938397547
122,1.206224601,0.965939926,0.785834523,0.846483826,0.962721882,1.044243923,1.044243923
123,1.265482945,0.942903103,0.942903103,0.942903103,0.942903103,0.942903103,0.942903103
124,2.173003903,1.508729352,1.528095461,2.012996268,1.943762583,1.938193793,1.938193793
125,0.992198672,0.841498716,0.759108592,0.759108592,0.759108592,0.759108592,0.759108592
126,3.664720574,2.866030766,3.337025793,2.678503397,3.346837234,2.595507688,2.595507688
127,3.644485895,2.249541676,2.249541676,2.249541676,2.249541676,2.249541676,2.249541676
128,1.450154034,1.261847763,1.802543259,1.048574577,1.275201743,1.802543259,1.802543259
129,0.669604724,0.510847685,0.495958405,0.478731788,0.541146752,0.424544482,0.424544482
133,0.695568822,0.501493606,0.462534477,0.49030201,0.727756566,0.495478425,0.727756566
134,1.919807147,1.480279866,1.480279866,1.480279866,1.795612122,1.480279866,1.480279866
135,0.911842291,0.75758329,0.660366777,0.731756518,0.692285708,0.731756518,0.731756518
136,2.785874853,2.151217018,2.594582779,1.955015797,2.594582779,2.594582779,2.594582779
137,1.698834157,1.257375611,1.163872985,1.155346223,1.268223826,1.77989638,1.77989638
138,1.550026549,1.162197925,1.090766866,1.118006937,1.217705326,1.323683696,1.323683696
139,5.479307353,4.227258968,3.91251944,3.932863852,4.546179394,4.555367831,4.555367831
140,0.777663427,0.584323615,0.56179359,0.557402419,0.666371863,0.762796053,0.762796053
141,2.577710005,1.709740191,1.654846362,1.661568468,1.796692476,1.790916452,1.790916452
142,1.758724682,1.312746168,1.312746168,1.312746168,1.223970294,1.312746168,1.312746168
143,0.981024205,1.001458947,0.689961185,0.672262686,0.852173268,1.001458947,1.001458947
144,0.697040279,0.59258237,0.53043013,0.534530063,0.474208168,0.668249782,0.668249782
145,0.78646764,0.635780803,0.581849452,0.614874174,0.640573844,0.588092215,0.588092215
146,2.917918959,2.30258794,2.188279005,2.11131697,2.263487439,2.245873715,2.245873715
147,1.51890546,0.991234733,0.925095416,0.91871523,1.053712678,1.465969918,1.465969918
148,0.799747678,0.625876871,0.631842214,0.591121177,0.699472922,0.614677237,0.614677237
149,0.667385691,0.510228721,0.460013333,0.446681778,0.522284503,0.716245731,0.716245731
150,0.524222328,0.523767301,0.481627293,0.473939836,0.547343858,0.440540702,0.440540702
151,0.873205353,1.013894778,1.013894778,1.013894778,1.013894778,1.013894778,1.013894778
152,1.271417669,0.992714078,0.824839781,0.832214935,1.048421726,1.421651837,1.421651837
