R0000100,RISK4_1993,RISK4_2002,RISK4_2004,RISK4_2006,RISK4_2010,RISK4_2012,RISK4_2014
2,2.153328701,1.839317601,1.501854533,3.234517418,2.166150224,3.234517418,3.234517418
3,2.746849412,2.133668611,2.621699129,1.856561048,2.621699129,1.632194406,2.621699129
4,0.847589149,0.960601633,0.960601633,0.960601633,0.960601633,0.960601633,0.960601633
6,1.525677488,1.071050519,0.968888901,1.006202836,1.481113255,1.211126538,1.211126538
7,1.171474289,0.869740502,0.903416001,0.862210255,1.257956589,1.035157966,1.035157966
8,0.485093803,0.284615154,0.335503522,0.621871015,0.388714796,0.621871015,0.621871015
9,1.269033724,0.778630113,0.879459195,0.781519996,1.217336958,1.102839047,1.102839047
10,2.055665005,2.39848104,2.39848104,2.39848104,2.39848104,2.39848104,2.39848104
11,4.708600588,3.459872248,2.991314157,2.991314157,2.991314157,2.991314157,2.991314157
12,0.782244138,0.97662136,0.97662136,0.97662136,0.97662136,0.97662136,0.97662136
13,2.482037535,2.175954278,2.033651933,1.921470842,2.038779428,2.038779428,2.038779428
14,2.446542404,1.634650633,1.935726834,1.918579596,2.822744197,2.552317191,2.552317191
15,3.006489096,2.23227399,2.01168673,1.855860691,2.714912329,2.195737811,2.195737811
16,1.03344888,0.687801078,0.677849992,0.704175833,1.1460106,1.442881096,1.442881096
17,3.142699326,1.234307032,1.225876469,1.220071124,1.770758542,1.494881322,1.494881322
18,1.923423885,1.13753915,1.313138756,1.258869981,1.85034593,1.350542472,1.350542472
19,0.679793409,0.806502896,0.806502896,0.359585916,0.806502896,0.806502896,0.806502896
20,1.313493598,0.908451636,0.900998038,0.870921741,1.399310906,0.935394177,1.399310906
21,1.684320315,1.100472703,1.196185676,1.098954582,1.609864374,1.705306285,1.705306285
22,2.542564088,1.654736778,1.782581452,1.677957133,2.471413699,2.638543015,2.638543015
24,1.569301604,1.664501127,1.664501127,1.664501127,1.664501127,1.664501127,1.664501127
25,2.504937257,1.620707303,1.689202858,1.624845339,2.392609503,2.771319508,2.771319508
26,4.398591375,3.10222697,3.10222697,3.10222697,4.097677115,3.10222697,3.10222697
27,2.499137222,2.015193693,1.754557529,1.636716348,2.403877044,2.457058363,2.457058363
28,0.799893772,0.793295905,0.793295905,0.793295905,0.762587044,0.793295905,0.793295905
29,1.439572385,0.657162689,1.463653818,0.689655163,0.946838537,1.463653818,1.463653818
30,0.759789543,0.621552007,0.517779165,0.507362842,0.749524505,1.089749999,1.089749999
31,1.96404829,1.359742536,1.56229646,1.586294183,1.932247059,1.657403585,1.657403585
32,1.852670318,1.969876179,1.551715714,1.407013156,1.72779827,1.969876179,1.969876179
33,2.55936829,1.411350812,1.411350812,1.411350812,1.411350812,1.411350812,1.411350812
34,1.497745296,0.857896436,1.141394729,0.808740605,1.442583887,1.141394729,1.141394729
35,2.210102874,2.357935707,2.357935707,2.357935707,2.357935707,2.357935707,2.357935707
36,0.922089917,0.582303015,0.632884052,0.622315835,0.955515629,0.961037662,0.961037662
37,0.402515364,0.262320835,0.276295503,0.268183287,0.388018993,0.569418876,0.569418876
38,1.159985703,0.746823459,0.808349128,0.787721366,1.135391042,1.614186197,1.614186197
39,3.027991231,1.932400162,2.12175499,2.065598074,2.962631203,3.075362084,3.075362084
40,2.534403342,1.297660935,1.399526896,1.382528823,1.955403882,2.033281356,2.033281356
41,2.381489564,0.903504791,1.146471021,1.127535431,1.557336542,1.410896447,1.410896447
42,0.872496033,0.590389489,0.593826091,0.588981437,0.851546096,0.901467788,0.901467788
43,1.666496798,0.895577288,1.60676813,0.957144685,1.433708926,1.60676813,1.60676813
44,1.675438095,1.421690845,2.340214034,1.213114008,1.652522247,2.340214034,2.340214034
45,1.559832104,1.667902617,1.667902617,1.667902617,1.667902617,1.667902617,1.667902617
46,0.850819479,0.565201325,0.563495675,0.549547039,0.855161553,0.855161553,0.855161553
47,1.788057812,1.164083358,1.255686719,1.1885212,1.790906065,1.304237192,1.304237192
48,1.050341524,0.917528685,0.917528685,0.917528685,0.917528685,0.917528685,0.917528685
49,1.681497359,1.069629369,1.16639347,1.919954492,1.919954492,1.919954492,1.919954492
50,0.670161979,0.445734163,0.926291933,0.482114473,0.631470135,0.926291933,0.926291933
52,2.41273372,2.41273372,2.41273372,2.41273372,2.41273372,1.882545438,2.41273372
53,1.216244671,0.854687351,0.948637316,0.744270529,1.277163462,0.744270529,0.744270529
54,1.592637799,0.973724941,1.675984765,1.675984765,1.675984765,1.675984765,1.675984765
57,2.224113483,1.649845092,1.516192144,1.467125528,2.542979068,3.159586146,3.159586146
58,0.536665775,0.583770954,0.375208031,0.356964843,0.524239682,0.583770954,0.583770954
59,0.512364416,0.340364853,0.358386406,0.342557682,0.570446996,0.570446996,0.570446996
60,0.82523872,0.809572864,0.809572864,0.809572864,0.809572864,0.56526669,0.809572864
61,2.940711547,1.787734859,2.010069802,1.965142265,2.936998679,3.679995406,3.679995406
62,0.552568408,0.392411209,0.375943167,0.36849093,0.649350666,0.699483643,0.699483643
63,1.811888978,1.948869958,1.318451017,1.323583393,1.801100887,1.948869958,1.948869958
66,1.062507883,0.800416774,0.856626671,0.823345312,1.253067391,0.999606443,0.999606443
67,3.147907179,1.084682517,1.507168441,1.318938985,1.940538528,1.507168441,1.507168441
68,1.536516171,1.28465067,1.118499682,1.023268159,1.518366777,1.569958573,1.569958573
69,2.522374765,1.70247089,1.696717405,1.757727867,2.434540817,2.08195033,2.08195033
70,2.674962663,1.343146865,1.353468351,1.772774467,2.493589645,1.772774467,1.772774467
71,1.714897716,1.071308692,1.071308692,1.071308692,1.689318891,1.071308692,1.071308692
72,1.862048811,1.080577068,1.27396402,1.218925931,1.804762439,1.397231332,1.397231332
73,4.506131656,2.780757067,3.111378053,3.023530513,3.07320234,2.415150018,2.415150018
74,3.052002142,2.191923026,2.191923026,2.191923026,2.191923026,2.191923026,2.191923026
75,1.19472047,0.832987116,0.805130579,0.833482423,1.148922065,1.206311645,1.206311645
76,2.968246951,1.442762463,1.431532553,1.39603966,2.050204328,2.052124892,2.052124892
77,2.948247121,1.973734871,1.973734871,1.830418576,1.973734871,1.973734871,1.973734871
78,0.61656258,0.652284022,0.419671112,0.402097933,0.652284022,0.652284022,0.652284022
79,5.417940998,2.971724269,3.752307738,4.274235778,4.274235778,4.274235778,4.274235778
80,1.749624187,0.741446766,1.182272679,1.152441458,1.642795759,0.741446766,0.741446766
81,5.451071945,3.456039083,4.317341351,3.579505927,3.456039083,3.456039083,2.496458462
82,1.173801427,0.895157465,0.895157465,0.895157465,0.895157465,0.895157465,0.895157465
83,1.122422111,0.825150718,0.806334673,0.787730116,1.130605734,0.780589288,0.780589288
84,6.154869794,3.16914993,3.514570751,3.42991274,5.029684233,3.791855246,3.791855246
85,6.958595404,4.089240623,4.626439478,4.519824179,6.732568525,4.196965159,4.196965159
86,1.124469635,0.621263872,0.736824033,0.73659428,1.057954419,0.898806676,0.898806676
87,1.110135027,0.675337753,0.766781429,0.753506023,1.100614557,0.734441682,0.734441682
88,0.737079045,0.589538288,0.516655828,0.477674849,0.710521505,0.560195506,0.560195506
89,2.30002654,1.52785349,1.601782119,1.558565042,2.287434139,2.287434139,2.287434139
90,0.725164062,0.447656523,0.508536373,0.473406971,0.691220718,0.666604564,0.666604564
91,3.279251553,2.159879867,2.30408837,2.134224875,3.104831984,3.765330813,3.765330813
92,0.729428854,0.558275844,0.58810916,0.962259626,0.813358456,0.962259626,0.962259626
93,1.007989831,0.640162496,0.709821391,0.656228639,1.156762168,1.102204032,1.102204032
94,1.829659559,1.178272681,1.147850291,1.1884208,1.781769113,1.781769113,1.781769113
95,0.360157362,0.25181361,0.296311643,0.283098339,0.401575403,0.57259747,0.57259747
