19	1560	6		0	1	0	0	0	1	1	0	4	36										1	0		45										1	0		47		12		0	1	0	0	1	0	1	0	4	49		12		0	1	0	0	1	0	1	0		53										1	0		55										1	0		57	10	12		0	0	1	1	1	0	0	1	0	0	0
20	77410	6	52	52	1	0	0	1	0	0	1	2	34	91000	9	52	52	1	0	0	1	0	0	1	4	43	124600	9	52	52	1	0	0	1	0	0	1	2	45	126000	3	52	52	1	0	0	1	0	0	1	3	47			52							0	1		51	190500	1	52	52	1	0	0	1	0	0	1	4	53	195000	2	52	52	1	0	0	1	0	0	1		55	12	18	67021	0	0	1	1	1	1	1	1	0	1	0
21	59650	6	52	52	1	0	0	1	0	0	1	2	32	175460	4	52	52	1	0	0	1	0	0	1	2	41	170025	5	52	52	1	0	0	1	0	0	1	4	43	250000	3	52	52	1	0	0	1	0	0	1	4	45	440692	2	52	52	1	0	0	1	0	0	1	1	49	497763	10	52	37	1	0	0	1	0	0	1		51	595986	1	52	52	1	0	0	1	0	0	1		53	12	18	88416	0	0	1	1	1	1	1	1	1	0	0
22	36020	6	44	52	1	0	0	1	0	0	1	4	30	85000	4	48	52	1	0	0	1	0	0	1	1	39	47971	6	46	18	1	0	0	1	0	0	1	2	41	80600	3	47	52	1	0	0	1	0	0	1	2	43	133250	3	34	50	1	0	0	1	0	0	1	1	47	40250	10		52	1	0	0	0	1	0	1		49	35700	1		11	1	0	0	0	1	0	1		51	12	12	89167	0	0	1	1	1	1	1	1	1	0	0
24	63200	10	52	52	1	0	0	1	0	1	0	2	32										1	0		41										1	0		43										1	0		45										1	0		49										1	0		51										1	0		53	12	12	66029	0	0	0	1	1	0	0	0	0	0	0
25	83000	6	52	52	1	0	0	1	0	0	1	2	34	390662	6	52	52	1	0	0	1	0	0	1	2	43	408473	6	52	52	1	0	0	1	0	0	1	4	45	490376	3	52	52	1	0	0	1	0	0	1	1	47	440692	1	52	52	1	0	0	1	0	0	1	1	51	185000	10	52	52	1	0	0	1	0	0	1		53	146000	12	45	52	1	0	0	1	0	1	0		55	14	16	51390	0	0	1	1	1	1	1	1	1	0	0
26	35820	8		0				1	0	0	1	1	31										0	1		40										0	1		42										0	1		44	95000	9		52	1	0	0	1	0	0	1	1	48	105000	1		52	1	0	0	1	0	0	1		50										0	1		52	16	17	97075	0	0	0	0	1	0	0	0	1	0	0
27	72931	6	52	0	1	0	0	1	0	0	1	1	33	390662	6	52	0	1	0	0	1	0	0	1	1	42	408473	5	52	0	1	0	0	1	0	0	1	4	44	490376	4	52	0	1	0	0	1	0	0	1	4	46	87000	2	52	52	1	0	0	1	0	0	1	1	50	497763	11	52	52	1	0	0	1	0	0	1		52	143502	2	52	52	1	0	0	0	1	0	1		54	14	20	96674	0	0	1	1	1	1	1	1	1	0	0
28	25000	6		52	1	0	0	0	1	1	0	4	29										1	0		38										1	0		40										1	0		42	17721	6		47	1	0	0	0	1	1	0	4	46										1	0		48										1	0		50	14	20	92784	0	0	1	1	1	0	0	0	1	0	0
29		7		52	1	0	0	0	0	1	0	4	33	175000	7	52	52	1	0	0	1	0	1	0	3	42	110500	2	48	52	1	0	0	1	0	1	0		44	130000	5	52	52	1	0	0	1	0	1	0	4	46	113000	1	52	52	1	0	0	1	0	1	0	1	50	53410	11	52	52	1	0	0	1	0	1	0		52		4	52	52	1	0	0	1	0	0	0		54	0	4	25905	0	0	1	1	1	1	0	1	1	0	0
30	23192	9	45	0				1	0	1	0	1	35	35000	6	52	0				1	0	1	0	4	44	36000	9	52	0				1	0	1	0	4	46	113797	7	52	0				1	0	1	0	4	48		2		0				1	0	1	0	4	52	34084	10		0				1	0	1	0		54	21882	3		0				1	0	1	0		56		6	8528	0	0	1	1	1	1	1	1	1	0	0
31	38000	6	48	52	0	0	1	1	0	1	0	1	30	36000	6		52	0	0	1	0	1	1	0	4	39	36000	8		52	0	0	1	0	1	1	0	1	41	40000	6	52	52	0	0	1	0	1	1	0	4	43	37641	1	52	52	0	0	1	1	0	1	0	3	47	74000	10	52	45	0	0	1	1	0	1	0		49	51000	1	52	26	0	0	1	1	0	1	0		51	9	3		1	0	0	0	1	1	1	1	1	0	0
32	63010	7	52	44	1	0	0	1	0	0	1	1	36			0							0	1		45		10	52	52	1	0	0	0	1	0	1	4	47	89000	9		52	1	0	0	0	1	0	1	1	49	440692	7		52	1	0	0	1	0	0	1	4	53										0	1		55										0	1		57	12	12		1	0	1	1	1	0	1	1	1	0	0
33		8		16	1	0	0	0	0	0	0	2	31										0	0		40										0	0		42		9		0	1	0	0	0	0	0	0		44	84816	8		0	1	0	0	0	0	0	0		48	0	10		0	1	0	0	0	0	0	0		50	9972	12		0	1	0	0	0	0				52	12	15		1	0	0	1	1	0	0	0	0	0	0
34	43000	8	52	52	1	0	0	0	1	0	1	3	35	66000	9	52	52	1	0	0	1	0	0	1	4	44	96150	9	52	52	1	0	0	1	0	0	1		46	490376	4	52	52	1	0	0	1	0	0	1	4	48	30000	2		52	1	0	0	0	1	0	1	1	52	53000	1		4	1	0	0	0	1	0	1		54		2	0	52	1	0	0	0	1	1	0		56	13	12	6069	0	0	0	1	1	1	0	1	1	0	0
35		7	48	52	1	0	0	1	0	0	0	1	30										0	0		39										0	0		41										0	0		43										0	0		47										0	0		49													51	12	12	53046	0	0	1	0	1	0	0	0	0	0	0
36	44705	6	52	52	1	0	0	1	0	1	0	1	31	130000	3	52	52	1	0	0	1	0	1	0	4	40	149000	4	52	52	1	0	0	1	0	1	0	4	42	26200	4		50	1	0	0	1	0	1	0	4	44		1	52	0	1	0	0	1	0	1	0	4	48	66510	10		52	1	0	0	1	0	1	0		50	28000	2		52	1	0	0	0	1	1	0		52	14	12		0	0	0	0	1	1	1	1	1	0	0
37	160097	6	52	0	1	0	0	1	0	1	0	4	35	115500	6	52	52	1	0	0	1	0	1	0	4	44	124400	4	52	52	1	0	0	1	0	1	0	4	46	46000	3	52	52	1	0	0	1	0	1	0	4	48	168000	2	52	52	1	0	0	1	0	1	0	4	52	124100	3	52	52	1	0	0	1	0	1	0		54	165300	12	52	52	1	0	0	1	0	1	0		56	12	12	56290	0	0	1	1	1	1	1	1	1	0	0
38	66000	6	50	52	1	0	0	1	0	1	0	4	31	63500	3	52	52	1	0	0	1	0	1	0	4	40	92758	4	52	52	1	0	0	1	0	1	0	1	42	110000	2	52	52	1	0	0	1	0	1	0	4	44	112500	2	45	52	1	0	0	1	0	1	0	1	48	128000	12	45	52	1	0	0	1	0	1	0		50	126000	1	20	52	1	0	0	1	0	1	0		52	12	12	12788	0	0	1	1	1	1	1	1	1	0	0
39	58000	6	52	52	0	1	0	1	0	1	0	3	34	87000	7	24	52	0	1	0	1	0	1	0	1	43		8	26	52	0	1	0	1	0	1	0	1	45	72000	2	52	52	0	1	0	1	0	1	0	1	47	75000	1	52	52	0	1	0	1	0	1	0	4	51	94000	10	52	52	0	1	0	1	0	1	0		53	100000	1	40	52	0	1	0	1	0	1	0		55	12	12	26851	0	0	0	0	1	1	1	1	1	0	0
